,ServiceTag,UUID,SerialNumber,HostName,Model,Manufacturer,ProcessorModel,ProcessorCount,LogicalProcessorCount,TotalSystemMemoryGiB,NIC_1_PermanentMACAddress,NIC_2_PermanentMACAddress,Bmc_Ip_Addr,BmcModel,BmcFirmwareVersion,Status
365,,4c4c4544-004e-4610-8051-b7c04f514432,CN747516670264,cpu-8-39,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:C1:2E,7C:D3:0A:BB:C1:30,10.101.8.39,13G DCS,2.75.75.75,Critical
366,,4c4c4544-004e-4610-804e-b7c04f514432,CN747516670925,cpu-8-40,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:C8:C6,7C:D3:0A:BB:C8:C8,10.101.8.40,13G DCS,2.75.75.75,Critical
367,,4c4c4544-004d-5110-804e-b7c04f514432,CN7475165J0048,cpu-8-41,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:68:A4,7C:D3:0A:BA:68:A6,10.101.8.41,13G DCS,2.75.75.75,OK
368,,4c4c4544-004d-5010-8054-b7c04f514432,CN7475165K0052,cpu-8-42,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:61:7E,7C:D3:0A:BA:61:80,10.101.8.42,13G DCS,2.75.75.75,OK
369,,4c4c4544-004d-5010-8052-b7c04f514432,CN7475165K0238,cpu-8-43,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:63:94,7C:D3:0A:BA:63:96,10.101.8.43,13G DCS,2.75.75.75,OK
370,,4c4c4544-004e-4610-8050-b7c04f514432,CN747516670253,cpu-8-44,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:C0:CE,7C:D3:0A:BB:C0:D0,10.101.8.44,13G DCS,2.75.75.75,OK
371,,4c4c4544-004d-5210-8050-b7c04f514432,CN7475165K0370,cpu-8-45,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:57:E8,7C:D3:0A:BA:57:EA,10.101.8.45,13G DCS,2.75.75.75,OK
372,,4c4c4544-004d-5110-8054-b7c04f514432,CN7475165K0328,cpu-8-46,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:58:72,7C:D3:0A:BA:58:74,10.101.8.46,13G DCS,2.75.75.75,OK
373,,4c4c4544-004d-5210-804e-b7c04f514432,CN747516CE0549,cpu-8-47,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:CD:6D:4C,7C:D3:0A:CD:6D:4E,10.101.8.47,13G DCS,2.75.75.75,OK
374,,4c4c4544-004d-5210-8051-b7c04f514432,CN7475165K0422,cpu-8-48,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:58:CC,7C:D3:0A:BA:58:CE,10.101.8.48,13G DCS,2.75.75.75,OK
375,,4c4c4544-004d-3710-8054-b7c04f514432,CN7475165N0004,cpu-8-49,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:70:00,7C:D3:0A:BA:70:02,10.101.8.49,13G DCS,2.75.75.75,OK
376,,4c4c4544-004d-3710-8051-b7c04f514432,CN7475165K0429,cpu-8-50,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:58:DE,7C:D3:0A:BA:58:E0,10.101.8.50,13G DCS,2.75.75.75,OK
377,,4c4c4544-004d-3710-8052-b7c04f514432,CN7475165L0099,cpu-8-51,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:6F:C4,7C:D3:0A:BA:6F:C6,10.101.8.51,13G DCS,2.75.75.75,OK
378,,4c4c4544-004d-3710-8053-b7c04f514432,CN7475165K0755,cpu-8-52,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:55:78,7C:D3:0A:BA:55:7A,10.101.8.52,13G DCS,2.75.75.75,OK
379,,4c4c4544-0052-4710-8048-b6c04f514432,CN747516680228,cpu-8-53,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:D7:0C,7C:D3:0A:BB:D7:0E,10.101.8.53,N/A,N/A,OK
