Partition|NodeList|Group|User|JobName|JobID|Submit|Start|End|ExitCode|CPUTimeRAW|TRESUsageInTot|TRESUsageOutTot|MaxVMSize|AllocCPUS|NTasks|Cluster|TimelimitRaw|ReqMem|
|cpu-24-1|||batch|8204.batch|2020-10-31T10:51:47|2020-10-31T10:51:47|2020-11-02T08:15:03|0:0|21375488|cpu=245-22:49:03,energy=0,fs/disk=2240909,mem=459549920K,pages=3366,vmem=144188K|energy=0,fs/disk=25666|144188K|128|1|redraider||4027Mc|
|cpu-24-[1-28,30-33]|||extern|8204.extern|2020-10-31T10:51:47|2020-10-31T10:51:47|2020-11-02T08:15:03|0:0|684015616|cpu=00:00:00,energy=0,fs/disk=70016,mem=0,pages=0,vmem=136M|energy=0,fs/disk=0|4352K|4096|32|redraider||4027Mc|
|cpu-24-[2-28,30-33]|||orted|8204.0|2020-10-31T10:51:48|2020-10-31T10:51:48|2020-11-02T08:15:02|0:0|5176814|cpu=7625-11:09:24,energy=0,fs/disk=416786087,mem=14265720812K,pages=114048,vmem=8821184K|energy=0,fs/disk=5504021766|286368K|31|31|redraider||4027Mc|
nocona|cpu-26-[18-19,39-44]|ME|jieyao|TBL|8207|2020-10-31T10:54:30|2020-10-31T10:54:30|2020-11-02T06:57:13|0:0|166054912||||1024||redraider|2880|4027Mc|
|cpu-26-18|||batch|8207.batch|2020-10-31T10:54:30|2020-10-31T10:54:30|2020-11-02T06:57:13|0:0|20756864|cpu=238-03:06:53,energy=0,fs/disk=2315597,mem=126161924K,pages=1914,vmem=144228K|energy=0,fs/disk=33706|144228K|128|1|redraider||4027Mc|
|cpu-26-[18-19,39-44]|||extern|8207.extern|2020-10-31T10:54:30|2020-10-31T10:54:30|2020-11-02T06:57:13|0:0|166054912|cpu=00:00:00,energy=0,fs/disk=17504,mem=0,pages=0,vmem=34M|energy=0,fs/disk=0|4352K|1024|8|redraider||4027Mc|
|cpu-26-[19,39-44]|||orted|8207.0|2020-10-31T10:54:31|2020-10-31T10:54:31|2020-11-02T06:56:58|0:0|1135029|cpu=1667-00:08:32,energy=0,fs/disk=91736634,mem=884372940K,pages=13365,vmem=1933768K|energy=0,fs/disk=751214033|277192K|7|7|redraider||4027Mc|
matador|gpu-21-1|chem|rliang|job10|8230|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-21-1|||batch|8230.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107748,mem=4572K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-1|||extern|8230.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=4352K|energy=0,fs/disk=0|4352K|1|1|redraider||9639Mc|
|gpu-21-1|||run.sh|8230.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:43|0:15|158456|cpu=1-19:48:04,energy=0,fs/disk=16231901,mem=7053640K,pages=69201,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-20-8|chem|rliang|job11|8231|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-20-8|||batch|8231.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107754,mem=4548K,pages=0,vmem=143536K|energy=0,fs/disk=227|143536K|1|1|redraider||9639Mc|
|gpu-20-8|||extern|8231.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-20-8|||run.sh|8231.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:48:35,energy=0,fs/disk=16231903,mem=7003968K,pages=80817,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-20-9|chem|rliang|job12|8232|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-20-9|||batch|8232.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107754,mem=4564K,pages=0,vmem=143536K|energy=0,fs/disk=227|143536K|1|1|redraider||9639Mc|
|gpu-20-9|||extern|8232.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-20-9|||run.sh|8232.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:46:20,energy=0,fs/disk=16231903,mem=6794728K,pages=78672,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-21-3|chem|rliang|job13|8233|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-21-3|||batch|8233.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107747,mem=4616K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-3|||extern|8233.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-21-3|||run.sh|8233.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:48:02,energy=0,fs/disk=16231900,mem=6920124K,pages=66000,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-21-4|chem|rliang|job14|8234|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-21-4|||batch|8234.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107746,mem=4548K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-4|||extern|8234.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-21-4|||run.sh|8234.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:48:43,energy=0,fs/disk=16231898,mem=7360504K,pages=69564,vmem=146436K|energy=0,fs/disk=43011|146436K|1|1|redraider||9639Mc|
matador|gpu-21-5|chem|rliang|job15|8235|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-21-5|||batch|8235.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107751,mem=4548K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-5|||extern|8235.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-21-5|||run.sh|8235.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:43|0:15|158456|cpu=1-19:47:33,energy=0,fs/disk=16231900,mem=6321564K,pages=71577,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-21-7|chem|rliang|job16|8236|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-21-7|||batch|8236.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107745,mem=4564K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-7|||extern|8236.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=4352K|energy=0,fs/disk=0|4352K|1|1|redraider||9639Mc|
