 Partition        NodeList     Group      User    JobName        JobID              Submit               Start                 End ExitCode CPUTimeRAW TRESUsageInTot TRESUsageOutTot  MaxVMSize  AllocCPUS   NTasks    Cluster TimelimitR     ReqMem 
---------- --------------- --------- --------- ---------- ------------ ------------------- ------------------- ------------------- -------- ---------- -------------- --------------- ---------- ---------- -------- ---------- ---------- ---------- 
           cpu-26-[19,39-+                          orted 8207.0       2020-10-31T10:54:31 2020-10-31T10:54:31 2020-11-02T06:56:58      0:0    1135029 cpu=1667-00:0+ energy=0,fs/di+    277192K          7        7  redraider                4027Mc 
   matador        gpu-21-1      chem    rliang      job10 8230         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-1                          batch 8230.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-1                         extern 8230.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+      4352K          1        1  redraider                9639Mc 
                  gpu-21-1                         run.sh 8230.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:43     0:15     158456 cpu=1-19:48:0+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-8      chem    rliang      job11 8231         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-8                          batch 8231.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
                  gpu-20-8                         extern 8231.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-8                         run.sh 8231.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:3+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-9      chem    rliang      job12 8232         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-9                          batch 8232.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
                  gpu-20-9                         extern 8232.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-9                         run.sh 8232.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:46:2+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-3      chem    rliang      job13 8233         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-3                          batch 8233.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
